Altium Designer Pick and Place Locations
C:\Users\richa\Documents\Documents\EmbedCore\DC Motor Controller\Hardware\dc-motor-controller-hardware\DC Motor Controller\Project Outputs for DC Motor Controller\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       26/05/25
Time:       17:39
Revision:   44e8e559563734da444911fbbac7c6ae9706c2ea
Variant:    No variations
Units used: mm

Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
J1201,629105150521,TopLayer,629105150521,99.4997,57.7499,0,USB Connector Type Micro B 2.0 SMD
U601,ESP32-S3-WROOM-1-N4,TopLayer,ESP32-S3-WROOM-1,77.0250,70.5960,90,"2.4 GHz Wi-Fi (802.11 b/g/n) and Bluetooth 5 (LE) Module ESP32-S3, 4MB Flash, on-board PCB antenna)"
C403,2u2 100V X7R,TopLayer,CAP_0805,100.0001,84.7496,180,Capacitor SMD 0805
C402,2u2 100V X7R,TopLayer,CAP_0805,100.0001,82.4996,180,Capacitor SMD 0805
C401,2u2 100V X7R,TopLayer,CAP_0805,102.9996,85.9999,90,Capacitor SMD 0805
U1101,SP3494CN-L/TR,TopLayer,SOIC-8,109.2760,65.4470,0,3.3V Low Power RS-485 / RS-422 Transceiver SOIC-8
U701,DRV8876PWPR,TopLayer,SOP65P640X120-16N,123.7930,76.2270,90,DRV8876 H-Bridge Motor Driver With Integrated Current Sense and Regulation
U501,SPX3819M5-L-3-3/TR,TopLayer,SOT-23-5,111.7540,73.4490,270,500mA +3.3V Low-Noise LDO Voltage Regulator
U401,AP62250WU-7,TopLayer,TSOT-26-6,95.8758,80.3960,180,"4.2V TO 18V INPUT, 2.5A LOW IQ SYNCHRONOUS BUCK CONVERTER"
R1403,22000.0%,TopLayer,RES_0402,88.1050,69.9410,0,Resistor SMD 0402
R1402,22000.0%,TopLayer,RES_0402,88.1050,71.1550,0,Resistor SMD 0402
R1401,22000.0%,TopLayer,RES_0402,88.0320,72.5190,0,Resistor SMD 0402
R1105,39000.0%,TopLayer,RES_0402,113.6530,67.5370,270,Resistor SMD 0402
R1104,39000.0%,TopLayer,RES_0402,113.7580,63.5370,270,Resistor SMD 0402
R1103,12000.0%,TopLayer,RES_0402,113.7710,65.5370,270,Resistor SMD 0402
